country,question,percentage_yes,code
Algeria,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",27,DZA
Algeria,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",34,DZA
Algeria,"Q8 Would you, personally, like to know more about science?",56.00000000000001,DZA
Algeria,"Q9 Would you, personally, like to know more about medicine, disease, or health?",61,DZA
Algeria,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",39,DZA
Algeria,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",43,DZA
Algeria,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",45,DZA
Algeria,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",67,DZA
Algeria,"Q23 Before today, had you ever heard of a vaccine?",93,DZA
Algeria,"Q27 Do you, personally, have any children?",80,DZA
Algeria,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,DZA
Algeria,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,44,DZA
Argentina,Q3 Do you think studying diseases is a part of science?,93,ARG
Argentina,"Q5A Have you, personally, ever, learned about science at Primary School?",74,ARG
Argentina,"Q5B Have you, personally, ever, learned about science at Secondary School?",59,ARG
Argentina,"Q5C Have you, personally, ever, learned about science at College/University?",28.000000000000004,ARG
Argentina,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",30,ARG
Argentina,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",42,ARG
Argentina,"Q8 Would you, personally, like to know more about science?",67,ARG
Argentina,"Q9 Would you, personally, like to know more about medicine, disease, or health?",78,ARG
Argentina,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",48,ARG
Argentina,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",78,ARG
Argentina,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",59,ARG
Argentina,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",77,ARG
Argentina,"Q23 Before today, had you ever heard of a vaccine?",96,ARG
Argentina,"Q27 Do you, personally, have any children?",70,ARG
Argentina,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",98,ARG
Argentina,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,41,ARG
Armenia,Q3 Do you think studying diseases is a part of science?,90,ARM
Armenia,"Q5A Have you, personally, ever, learned about science at Primary School?",63,ARM
Armenia,"Q5B Have you, personally, ever, learned about science at Secondary School?",90,ARM
Armenia,"Q5C Have you, personally, ever, learned about science at College/University?",44,ARM
Armenia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",34,ARM
Armenia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",55.00000000000001,ARM
Armenia,"Q8 Would you, personally, like to know more about science?",73,ARM
Armenia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",78,ARM
Armenia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",40,ARM
Armenia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",54,ARM
Armenia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",42,ARM
Armenia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",83,ARM
Armenia,"Q23 Before today, had you ever heard of a vaccine?",86,ARM
Armenia,"Q27 Do you, personally, have any children?",69,ARM
Armenia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",89,ARM
Armenia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,15,ARM
Australia,Q3 Do you think studying diseases is a part of science?,98,AUS
Australia,"Q5A Have you, personally, ever, learned about science at Primary School?",81,AUS
Australia,"Q5B Have you, personally, ever, learned about science at Secondary School?",90,AUS
Australia,"Q5C Have you, personally, ever, learned about science at College/University?",28.999999999999996,AUS
Australia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",48,AUS
Australia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",64,AUS
Australia,"Q8 Would you, personally, like to know more about science?",60,AUS
Australia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",77,AUS
Australia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",59,AUS
Australia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",85,AUS
Australia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",85,AUS
Australia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",88,AUS
Australia,"Q23 Before today, had you ever heard of a vaccine?",98,AUS
Australia,"Q27 Do you, personally, have any children?",69,AUS
Australia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,AUS
Australia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,50,AUS
Austria,Q3 Do you think studying diseases is a part of science?,96,AUT
Austria,"Q5A Have you, personally, ever, learned about science at Primary School?",65,AUT
Austria,"Q5B Have you, personally, ever, learned about science at Secondary School?",71,AUT
Austria,"Q5C Have you, personally, ever, learned about science at College/University?",35,AUT
Austria,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",46,AUT
Austria,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",66,AUT
Austria,"Q8 Would you, personally, like to know more about science?",53,AUT
Austria,"Q9 Would you, personally, like to know more about medicine, disease, or health?",56.99999999999999,AUT
Austria,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",42,AUT
Austria,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",86,AUT
Austria,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",78,AUT
Austria,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",84,AUT
Austria,"Q23 Before today, had you ever heard of a vaccine?",88,AUT
Austria,"Q27 Do you, personally, have any children?",64,AUT
Austria,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",88,AUT
Austria,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,63,AUT
Azerbaijan,Q3 Do you think studying diseases is a part of science?,85,AZE
Azerbaijan,"Q5A Have you, personally, ever, learned about science at Primary School?",79,AZE
Azerbaijan,"Q5B Have you, personally, ever, learned about science at Secondary School?",98,AZE
Azerbaijan,"Q5C Have you, personally, ever, learned about science at College/University?",22,AZE
Azerbaijan,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",28.000000000000004,AZE
Azerbaijan,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",28.999999999999996,AZE
Azerbaijan,"Q8 Would you, personally, like to know more about science?",56.99999999999999,AZE
Azerbaijan,"Q9 Would you, personally, like to know more about medicine, disease, or health?",61,AZE
Azerbaijan,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",36,AZE
Azerbaijan,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",74,AZE
Azerbaijan,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.00000000000001,AZE
Azerbaijan,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",71,AZE
Azerbaijan,"Q23 Before today, had you ever heard of a vaccine?",90,AZE
Azerbaijan,"Q27 Do you, personally, have any children?",64,AZE
Azerbaijan,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",89,AZE
Azerbaijan,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,3,AZE
Bangladesh,Q3 Do you think studying diseases is a part of science?,83,BGD
Bangladesh,"Q5A Have you, personally, ever, learned about science at Primary School?",74,BGD
Bangladesh,"Q5B Have you, personally, ever, learned about science at Secondary School?",57.99999999999999,BGD
Bangladesh,"Q5C Have you, personally, ever, learned about science at College/University?",14.000000000000002,BGD
Bangladesh,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",20,BGD
Bangladesh,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",41,BGD
Bangladesh,"Q8 Would you, personally, like to know more about science?",69,BGD
Bangladesh,"Q9 Would you, personally, like to know more about medicine, disease, or health?",79,BGD
Bangladesh,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",66,BGD
Bangladesh,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",85,BGD
Bangladesh,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",84,BGD
Bangladesh,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",90,BGD
Bangladesh,"Q23 Before today, had you ever heard of a vaccine?",98,BGD
Bangladesh,"Q27 Do you, personally, have any children?",86,BGD
Bangladesh,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",95,BGD
Bangladesh,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,11,BGD
Belarus,Q3 Do you think studying diseases is a part of science?,91,BLR
Belarus,"Q5A Have you, personally, ever, learned about science at Primary School?",88,BLR
Belarus,"Q5B Have you, personally, ever, learned about science at Secondary School?",92,BLR
Belarus,"Q5C Have you, personally, ever, learned about science at College/University?",56.00000000000001,BLR
Belarus,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",26,BLR
Belarus,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",40,BLR
Belarus,"Q8 Would you, personally, like to know more about science?",42,BLR
Belarus,"Q9 Would you, personally, like to know more about medicine, disease, or health?",56.00000000000001,BLR
Belarus,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",51,BLR
Belarus,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",68,BLR
Belarus,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",70,BLR
Belarus,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",83,BLR
Belarus,"Q23 Before today, had you ever heard of a vaccine?",94,BLR
Belarus,"Q27 Do you, personally, have any children?",75,BLR
Belarus,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",89,BLR
Belarus,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,36,BLR
Belgium,Q3 Do you think studying diseases is a part of science?,97,BEL
Belgium,"Q5A Have you, personally, ever, learned about science at Primary School?",82,BEL
Belgium,"Q5B Have you, personally, ever, learned about science at Secondary School?",83,BEL
Belgium,"Q5C Have you, personally, ever, learned about science at College/University?",25,BEL
Belgium,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",48,BEL
Belgium,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",59,BEL
Belgium,"Q8 Would you, personally, like to know more about science?",56.99999999999999,BEL
Belgium,"Q9 Would you, personally, like to know more about medicine, disease, or health?",70,BEL
Belgium,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",54,BEL
Belgium,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",88,BEL
Belgium,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",76,BEL
Belgium,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",79,BEL
Belgium,"Q23 Before today, had you ever heard of a vaccine?",94,BEL
Belgium,"Q27 Do you, personally, have any children?",66,BEL
Belgium,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",99,BEL
Belgium,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,31,BEL
Benin,Q3 Do you think studying diseases is a part of science?,66,BEN
Benin,"Q5A Have you, personally, ever, learned about science at Primary School?",54,BEN
Benin,"Q5B Have you, personally, ever, learned about science at Secondary School?",48,BEN
Benin,"Q5C Have you, personally, ever, learned about science at College/University?",12,BEN
Benin,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",37,BEN
Benin,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",45,BEN
Benin,"Q8 Would you, personally, like to know more about science?",81,BEN
Benin,"Q9 Would you, personally, like to know more about medicine, disease, or health?",85,BEN
Benin,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",52,BEN
Benin,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",65,BEN
Benin,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.00000000000001,BEN
Benin,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",77,BEN
Benin,"Q23 Before today, had you ever heard of a vaccine?",79,BEN
Benin,"Q27 Do you, personally, have any children?",72,BEN
Benin,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",73,BEN
Benin,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,28.000000000000004,BEN
Bolivia,Q3 Do you think studying diseases is a part of science?,91,BOL
Bolivia,"Q5A Have you, personally, ever, learned about science at Primary School?",75,BOL
Bolivia,"Q5B Have you, personally, ever, learned about science at Secondary School?",73,BOL
Bolivia,"Q5C Have you, personally, ever, learned about science at College/University?",36,BOL
Bolivia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",40,BOL
Bolivia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",59,BOL
Bolivia,"Q8 Would you, personally, like to know more about science?",88,BOL
Bolivia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",92,BOL
Bolivia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",37,BOL
Bolivia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",56.00000000000001,BOL
Bolivia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",52,BOL
Bolivia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",76,BOL
Bolivia,"Q23 Before today, had you ever heard of a vaccine?",92,BOL
Bolivia,"Q27 Do you, personally, have any children?",64,BOL
Bolivia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",93,BOL
Bolivia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,54,BOL
Bosnia and Herzegovina,Q3 Do you think studying diseases is a part of science?,86,BIH
Bosnia and Herzegovina,"Q5A Have you, personally, ever, learned about science at Primary School?",83,BIH
Bosnia and Herzegovina,"Q5B Have you, personally, ever, learned about science at Secondary School?",67,BIH
Bosnia and Herzegovina,"Q5C Have you, personally, ever, learned about science at College/University?",20,BIH
Bosnia and Herzegovina,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",28.000000000000004,BIH
Bosnia and Herzegovina,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",38,BIH
Bosnia and Herzegovina,"Q8 Would you, personally, like to know more about science?",61,BIH
Bosnia and Herzegovina,"Q9 Would you, personally, like to know more about medicine, disease, or health?",68,BIH
Bosnia and Herzegovina,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",50,BIH
Bosnia and Herzegovina,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",68,BIH
Bosnia and Herzegovina,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",49,BIH
Bosnia and Herzegovina,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",73,BIH
Bosnia and Herzegovina,"Q23 Before today, had you ever heard of a vaccine?",92,BIH
Bosnia and Herzegovina,"Q27 Do you, personally, have any children?",66,BIH
Bosnia and Herzegovina,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",92,BIH
Bosnia and Herzegovina,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,24,BIH
Botswana,Q3 Do you think studying diseases is a part of science?,77,BWA
Botswana,"Q5A Have you, personally, ever, learned about science at Primary School?",54,BWA
Botswana,"Q5B Have you, personally, ever, learned about science at Secondary School?",62,BWA
Botswana,"Q5C Have you, personally, ever, learned about science at College/University?",18,BWA
Botswana,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",19,BWA
Botswana,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",34,BWA
Botswana,"Q8 Would you, personally, like to know more about science?",82,BWA
Botswana,"Q9 Would you, personally, like to know more about medicine, disease, or health?",88,BWA
Botswana,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",55.00000000000001,BWA
Botswana,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",71,BWA
Botswana,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",72,BWA
Botswana,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",87,BWA
Botswana,"Q23 Before today, had you ever heard of a vaccine?",40,BWA
Botswana,"Q27 Do you, personally, have any children?",63,BWA
Botswana,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",95,BWA
Botswana,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,19,BWA
Brazil,Q3 Do you think studying diseases is a part of science?,93,BRA
Brazil,"Q5A Have you, personally, ever, learned about science at Primary School?",78,BRA
Brazil,"Q5B Have you, personally, ever, learned about science at Secondary School?",60,BRA
Brazil,"Q5C Have you, personally, ever, learned about science at College/University?",14.000000000000002,BRA
Brazil,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",20,BRA
Brazil,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",39,BRA
Brazil,"Q8 Would you, personally, like to know more about science?",69,BRA
Brazil,"Q9 Would you, personally, like to know more about medicine, disease, or health?",80,BRA
Brazil,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",61,BRA
Brazil,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",62,BRA
Brazil,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.00000000000001,BRA
Brazil,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",79,BRA
Brazil,"Q23 Before today, had you ever heard of a vaccine?",95,BRA
Brazil,"Q27 Do you, personally, have any children?",68,BRA
Brazil,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,BRA
Brazil,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,46,BRA
Bulgaria,Q3 Do you think studying diseases is a part of science?,83,BGR
Bulgaria,"Q5A Have you, personally, ever, learned about science at Primary School?",70,BGR
Bulgaria,"Q5B Have you, personally, ever, learned about science at Secondary School?",70,BGR
Bulgaria,"Q5C Have you, personally, ever, learned about science at College/University?",27,BGR
Bulgaria,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",30,BGR
Bulgaria,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",37,BGR
Bulgaria,"Q8 Would you, personally, like to know more about science?",53,BGR
Bulgaria,"Q9 Would you, personally, like to know more about medicine, disease, or health?",61,BGR
Bulgaria,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",24,BGR
Bulgaria,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",57.99999999999999,BGR
Bulgaria,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.99999999999999,BGR
Bulgaria,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",68,BGR
Bulgaria,"Q23 Before today, had you ever heard of a vaccine?",93,BGR
Bulgaria,"Q27 Do you, personally, have any children?",77,BGR
Bulgaria,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",96,BGR
Bulgaria,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,24,BGR
Burkina Faso,Q3 Do you think studying diseases is a part of science?,69,BFA
Burkina Faso,"Q5A Have you, personally, ever, learned about science at Primary School?",42,BFA
Burkina Faso,"Q5B Have you, personally, ever, learned about science at Secondary School?",38,BFA
Burkina Faso,"Q5C Have you, personally, ever, learned about science at College/University?",6,BFA
Burkina Faso,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",24,BFA
Burkina Faso,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",39,BFA
Burkina Faso,"Q8 Would you, personally, like to know more about science?",80,BFA
Burkina Faso,"Q9 Would you, personally, like to know more about medicine, disease, or health?",87,BFA
Burkina Faso,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",48,BFA
Burkina Faso,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",71,BFA
Burkina Faso,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.99999999999999,BFA
Burkina Faso,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",69,BFA
Burkina Faso,"Q23 Before today, had you ever heard of a vaccine?",79,BFA
Burkina Faso,"Q27 Do you, personally, have any children?",64,BFA
Burkina Faso,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",97,BFA
Burkina Faso,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,22,BFA
Burundi,Q3 Do you think studying diseases is a part of science?,83,BDI
Burundi,"Q5A Have you, personally, ever, learned about science at Primary School?",56.00000000000001,BDI
Burundi,"Q5B Have you, personally, ever, learned about science at Secondary School?",28.000000000000004,BDI
Burundi,"Q5C Have you, personally, ever, learned about science at College/University?",6,BDI
Burundi,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",22,BDI
Burundi,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",28.000000000000004,BDI
Burundi,"Q8 Would you, personally, like to know more about science?",88,BDI
Burundi,"Q9 Would you, personally, like to know more about medicine, disease, or health?",87,BDI
Burundi,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",63,BDI
Burundi,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",80,BDI
Burundi,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",56.00000000000001,BDI
Burundi,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",75,BDI
Burundi,"Q23 Before today, had you ever heard of a vaccine?",92,BDI
Burundi,"Q27 Do you, personally, have any children?",61,BDI
Burundi,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",97,BDI
Burundi,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,19,BDI
Cambodia,Q3 Do you think studying diseases is a part of science?,73,KHM
Cambodia,"Q5A Have you, personally, ever, learned about science at Primary School?",57.99999999999999,KHM
Cambodia,"Q5B Have you, personally, ever, learned about science at Secondary School?",41,KHM
Cambodia,"Q5C Have you, personally, ever, learned about science at College/University?",7.000000000000001,KHM
Cambodia,"Q6 Have you, personally, tried to get any information about science in the past 30 days?",16,KHM
Cambodia,"Q7 Have you, personally, tried to get any information about medicine, disease, or health in the past 30 days?",43,KHM
Cambodia,"Q8 Would you, personally, like to know more about science?",78,KHM
Cambodia,"Q9 Would you, personally, like to know more about medicine, disease, or health?",89,KHM
Cambodia,"Q10A In (country), do you have confidence in each of the following, or not? How about Non-governmental organizations or Non-profit organizations.",57.99999999999999,KHM
Cambodia,"Q10B In (country), do you have confidence in each of the following, or not? How about Hospitals and Health Clinics.",79,KHM
Cambodia,"Q17 In general, do you think the work that scientists do benefits people like you in this country?",60,KHM
Cambodia,"Q18 Overall, do you think that science and technology will help improve life for the next generation?",81,KHM
Cambodia,"Q23 Before today, had you ever heard of a vaccine?",87,KHM
Cambodia,"Q27 Do you, personally, have any children?",69,KHM
Cambodia,"Q28 (If respondent is a parent) To the best of your knowledge have any of your children ever received a vaccine that was supposed to prevent them from getting childhood diseases such as (examples), or not?",90,KHM
Cambodia,Q29 (If respondent identifies with a religion) Has science ever disagreed with the teachings of your religion?,24,KHM
